name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
CHLORAM,B3,4,12/7/21,58.0,1.0,251.225,2.0,3.0,0.0,0.0
CHLORAM,C1,4,12/7/21,98.0,1.0,125.6125,4.0,1.0,0.0,0.0
CHLORAM,C2,4,12/7/21,102.0,1.0,125.6125,4.0,2.0,0.0,0.0
CHLORAM,C3,4,12/7/21,106.0,1.0,125.6125,4.0,3.0,0.0,0.0
CHLORAM,D1,4,12/7/21,146.0,1.0,62.80625,8.0,1.0,0.0,0.0
CHLORAM,D2,4,12/7/21,150.0,1.0,62.80625,8.0,2.0,0.0,0.0
CHLORAM,D3,4,12/7/21,154.0,1.0,62.80625,8.0,3.0,0.0,0.0
CHLORAM,E1,4,12/7/21,194.0,1.0,31.403125,16.0,1.0,0.0,0.0
CHLORAM,E2,4,12/7/21,198.0,1.0,31.403125,16.0,2.0,0.0,0.0
CHLORAM,E3,4,12/7/21,202.0,1.0,31.403125,16.0,3.0,0.0,0.0
CHLORAM,F1,4,12/7/21,242.0,1.0,15.7015625,32.0,1.0,0.0,0.0
CHLORAM,F2,4,12/7/21,246.0,1.0,15.7015625,32.0,2.0,0.0,0.0
CHLORAM,F3,4,12/7/21,250.0,1.0,15.7015625,32.0,3.0,0.0,0.0
CHLORAM,G1,4,12/7/21,290.0,1.6666666666666667,7.85078125,64.0,1.0,0.6666666666666666,0.5773502691896258
CHLORAM,G2,4,12/7/21,294.0,2.0,7.85078125,64.0,2.0,1.0,0.0
CHLORAM,G3,4,12/7/21,298.0,1.0,7.85078125,64.0,3.0,0.0,0.0
CHLORAM,H1,4,12/7/21,338.0,1.0,3.925390625,128.0,1.0,0.0,0.0
CHLORAM,H2,4,12/7/21,342.0,1.3333333333333333,3.925390625,128.0,2.0,0.3333333333333333,0.5773502691896258
CHLORAM,H3,4,12/7/21,346.0,1.3333333333333333,3.925390625,128.0,3.0,0.3333333333333333,0.5773502691896258
DMSO,A7,2,11/23/21,26.0,1.0,705000.0,1.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,A8,2,11/23/21,30.0,1.0,705000.0,1.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,A8,6,1/10/22,30.0,1.0,705000.0,1.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,A9,2,11/23/21,34.0,1.0,705000.0,1.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,A9,6,1/10/22,34.0,1.0,705000.0,1.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,B7,2,11/23/21,74.0,1.0,352500.0,2.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,B8,2,11/23/21,78.0,1.0,352500.0,2.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,B8,6,1/10/22,78.0,1.0,352500.0,2.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,B9,2,11/23/21,82.0,1.0,352500.0,2.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,B9,6,1/10/22,82.0,1.0,352500.0,2.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,C7,2,11/23/21,122.0,1.0,176250.0,4.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,C8,2,11/23/21,126.0,1.0,176250.0,4.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,C8,6,1/10/22,126.0,0.6666666666666666,176250.0,4.0,2.0,0.24999999999999992,0.8636670341750609
DMSO,C9,2,11/23/21,130.0,1.0,176250.0,4.0,3.0,0.01388888888888884,0.16666666666666666
DMSO,C9,6,1/10/22,130.0,1.0,176250.0,4.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,D7,2,11/23/21,170.0,1.0,88125.0,8.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,D8,2,11/23/21,174.0,1.0,88125.0,8.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,D8,6,1/10/22,174.0,1.0,88125.0,8.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,D9,2,11/23/21,178.0,0.6666666666666666,88125.0,8.0,3.0,-0.3194444444444445,0.6009252125773317
DMSO,D9,6,1/10/22,178.0,1.0,88125.0,8.0,3.0,0.5833333333333333,0.6423296759355063
DMSO,E7,2,11/23/21,218.0,1.0,44062.5,16.0,1.0,0.01388888888888884,0.16666666666666666
DMSO,E8,2,11/23/21,222.0,1.0,44062.5,16.0,2.0,0.01388888888888884,0.16666666666666666
DMSO,E8,6,1/10/22,222.0,1.0,44062.5,16.0,2.0,0.5833333333333333,0.6423296759355063
DMSO,E9,2,11/23/21,226.0,1.0,44062.5,16.0,3.0,0.01388888888888884,0.16666666666666666
