,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
893,125,74.67,C8,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,-1.0,0.0
894,126,149.363,C8,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,-1.0,0.0
895,127,224.03,C8,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,2,3,12/7/21,-1.0,0.0
897,129,74.67,C9,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
898,130,149.363,C9,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
899,131,224.03,C9,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,3,3,12/7/21,-1.0,0.0
901,133,74.67,C10,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
902,134,149.363,C10,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
903,135,224.03,C10,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,1,3,12/7/21,-1.0,0.0
905,137,74.67,C11,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
906,138,149.363,C11,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
907,139,224.03,C11,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
909,141,74.67,C12,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
910,142,149.363,C12,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
911,143,224.03,C12,0,125.0,4,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
913,145,74.67,D1,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
914,146,149.363,D1,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
915,147,224.03,D1,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
917,149,74.67,D2,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
918,150,149.363,D2,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
919,151,224.03,D2,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
921,153,74.67,D3,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,-1.0,0.0
922,154,149.363,D3,0,1250.0,8,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,-1.0,0.0
923,155,224.03,D3,1,1250.0,8,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,0.0,0.0
925,157,74.67,D4,0,1250.0,8,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,-1.0,0.0
926,158,149.363,D4,0,1250.0,8,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,-1.0,0.0
927,159,224.03,D4,1,1250.0,8,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,0.0,0.0
