,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
65,140.025,B5,10320,225.2252252,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,10255.715277777777,14395.170295295295,2954.1699824824827,2.4012243852125943,0.41645420817741036,4.018598709330847,267.3546406065672,0.3982395117354893,0.09049304508251563,0.01569458050962829
66,280.07,B5,10126,225.2252252,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,10061.715277777777,14398.773898898899,2756.566378878879,2.5733554085082626,0.3885977027089646,4.018598709330847,267.3546406065672,0.3982395117354893,0.09698010301818717,0.014644788324513805
67,420.097,B5,9994,225.2252252,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,9929.715277777777,14323.999124124124,2699.3411536536532,2.6279097736121755,0.38053056845458466,4.018598709330847,267.3546406065672,0.3982395117354893,0.09903608338135142,0.014340772839708237
69,140.025,B6,10797,225.2252252,2,25 mM HEPES pH 7,PMS,3,1,9/29/22,10732.715277777777,14870.845970970971,2955.494306806807,2.400148423112389,0.4166409003586751,4.018598709330847,267.3546406065672,0.3982395117354893,0.09045249563097287,0.01570161614026691
70,280.07,B6,10721,225.2252252,2,25 mM HEPES pH 7,PMS,3,1,9/29/22,10656.715277777777,14772.647772772772,2977.692505005005,2.38225571917745,0.4197702169208275,4.018598709330847,267.3546406065672,0.3982395117354893,0.08977817892284301,0.015819546716928878
71,420.097,B6,10513,225.2252252,2,25 mM HEPES pH 7,PMS,3,1,9/29/22,10448.715277777777,14751.927052052051,2790.413225725725,2.5421414056533163,0.3933691484573438,4.018598709330847,267.3546406065672,0.3982395117354893,0.09580374747793624,0.014824603572645487
73,140.025,B7,6662,225.2252252,2,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6597.715277777777,7122.197322322322,6569.142955455455,1.0798402543681866,0.9260629023179905,4.018598709330847,267.3546406065672,0.3982395117354893,0.04069487828046366,0.03489962236306293
74,280.07,B7,6681,225.2252252,2,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6616.715277777777,7121.296421421422,6589.043856356356,1.0765788109236643,0.9288683650963162,4.018598709330847,267.3546406065672,0.3982395117354893,0.040571967150461165,0.03500534880809805
75,420.097,B7,6596,225.2252252,2,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6531.715277777777,7120.39552052052,6504.944757257257,1.0904973469737742,0.9170127765785839,4.018598709330847,267.3546406065672,0.3982395117354893,0.041096502709235296,0.03455856005669996
77,140.025,B8,6836,225.2252252,2,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6771.715277777777,7124.900025025025,6740.440252752753,1.0523978752134193,0.9502109644579115,4.018598709330847,267.3546406065672,0.3982395117354893,0.039660681735636916,0.03580966432057396
78,280.07,B8,6799,225.2252252,2,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6734.715277777777,7126.701826826827,6701.638450950951,1.0584911513681294,0.9447410105483375,4.018598709330847,267.3546406065672,0.3982395117354893,0.03989031359933332,0.035603524065566376
79,420.097,B8,6746,225.2252252,2,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6681.715277777777,7124.900025025025,6650.440252752753,1.0666399111042015,0.9375235162209382,4.018598709330847,267.3546406065672,0.3982395117354893,0.040197408654843426,0.03533152614366892
81,140.025,B9,7285,225.2252252,2,25 mM HEPES pH 7,AQDS,3,1,9/29/22,7220.715277777777,7129.404529529529,7184.935748248248,0.9872913618927615,1.0128722265764327,4.018598709330847,267.3546406065672,0.3982395117354893,0.03720707123881015,0.03817111193781011
82,280.07,B9,7287,225.2252252,2,25 mM HEPES pH 7,AQDS,3,1,9/29/22,7222.715277777777,7129.404529529529,7186.935748248248,0.9870166157710548,1.0131541698705877,4.018598709330847,267.3546406065672,0.3982395117354893,0.03719671713158218,0.038181737232375765
83,420.097,B9,7189,225.2252252,2,25 mM HEPES pH 7,AQDS,3,1,9/29/22,7124.715277777777,7123.098223223224,7095.242054554554,0.9997720931094217,1.0002279588439695,4.018598709330847,267.3546406065672,0.3982395117354893,0.03767742122569129,0.03769460098638004
85,140.025,B10,7135,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,7070.715277777777,7090.665790790791,7073.674486986986,1.002820388901089,0.9971875433205147,4.018598709330847,267.3546406065672,0.3982395117354893,0.03779229958775163,0.037580020110719974
86,280.07,B10,7040,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6975.715277777777,7091.566691691692,6977.773586086086,1.0166029196110526,0.9836682353643005,4.018598709330847,267.3546406065672,0.3982395117354893,0.038311709366359394,0.03707053247556595
87,420.097,B10,7013,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6948.715277777777,7088.863988988989,6953.476288788788,1.0201552008507135,0.9802430053447692,4.018598709330847,267.3546406065672,0.3982395117354893,0.03844558098681466,0.03694144951406838
89,140.025,B11,6448,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6383.715277777777,7088.863988988989,6388.476288788788,1.1103782309482286,0.9005940247459921,4.018598709330847,267.3546406065672,0.3982395117354893,0.04184573609331461,0.03393980432645381
90,280.07,B11,6398,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6333.715277777777,7088.863988988989,6338.476288788788,1.11913726214404,0.893545442392118,4.018598709330847,267.3546406065672,0.3982395117354893,0.042175830031034214,0.033674172041360216
91,420.097,B11,6365,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6300.715277777777,7086.161286286287,6308.178991491491,1.1245123211576469,0.8892743824901219,4.018598709330847,267.3546406065672,0.3982395117354893,0.04237839518338281,0.03351321323792044
93,140.025,B12,7017,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6952.715277777777,7090.665790790791,6955.674486986986,1.0198328017320388,0.9805528889653718,4.018598709330847,267.3546406065672,0.3982395117354893,0.03843343102176087,0.03695312776489902
94,280.07,B12,6883,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6818.715277777777,7089.76488988989,6822.575387887888,1.0397283425542363,0.961789689740843,4.018598709330847,267.3546406065672,0.3982395117354893,0.03918321638990302,0.03624601926510172
95,420.097,B12,6840,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6775.715277777777,7089.76488988989,6779.575387887888,1.046322902858073,0.9557279089165114,4.018598709330847,267.3546406065672,0.3982395117354893,0.03943173968066078,0.03601757546068933
