,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
121,140.037,C7,76,125.0,4,25 mM HEPES pH 7,AQDS,1,1,9/29/22,11.715277777777771,4.018598709330847
122,280.06,C7,79,125.0,4,25 mM HEPES pH 7,AQDS,1,1,9/29/22,14.715277777777771,4.018598709330847
123,420.092,C7,80,125.0,4,25 mM HEPES pH 7,AQDS,1,1,9/29/22,15.715277777777771,4.018598709330847
125,140.037,C8,83,125.0,4,25 mM HEPES pH 7,AQDS,2,1,9/29/22,18.71527777777777,4.018598709330847
126,280.06,C8,83,125.0,4,25 mM HEPES pH 7,AQDS,2,1,9/29/22,18.71527777777777,4.018598709330847
127,420.092,C8,82,125.0,4,25 mM HEPES pH 7,AQDS,2,1,9/29/22,17.71527777777777,4.018598709330847
129,140.037,C9,82,125.0,4,25 mM HEPES pH 7,AQDS,3,1,9/29/22,17.71527777777777,4.018598709330847
130,280.06,C9,85,125.0,4,25 mM HEPES pH 7,AQDS,3,1,9/29/22,20.71527777777777,4.018598709330847
131,420.092,C9,87,125.0,4,25 mM HEPES pH 7,AQDS,3,1,9/29/22,22.71527777777777,4.018598709330847
133,140.037,C10,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
134,280.06,C10,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
135,420.092,C10,62,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-2.2847222222222285,4.018598709330847
137,140.037,C11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
138,280.06,C11,58,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-6.2847222222222285,4.018598709330847
139,420.092,C11,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
141,140.037,C12,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
142,280.06,C12,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
143,420.092,C12,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
145,140.037,D1,217,62.8125,8,25 mM HEPES pH 7,PYO,1,1,9/29/22,152.71527777777777,4.018598709330847
146,280.06,D1,217,62.8125,8,25 mM HEPES pH 7,PYO,1,1,9/29/22,152.71527777777777,4.018598709330847
147,420.092,D1,207,62.8125,8,25 mM HEPES pH 7,PYO,1,1,9/29/22,142.71527777777777,4.018598709330847
149,140.037,D2,227,62.8125,8,25 mM HEPES pH 7,PYO,2,1,9/29/22,162.71527777777777,4.018598709330847
150,280.06,D2,227,62.8125,8,25 mM HEPES pH 7,PYO,2,1,9/29/22,162.71527777777777,4.018598709330847
151,420.092,D2,229,62.8125,8,25 mM HEPES pH 7,PYO,2,1,9/29/22,164.71527777777777,4.018598709330847
153,140.037,D3,241,62.8125,8,25 mM HEPES pH 7,PYO,3,1,9/29/22,176.71527777777777,4.018598709330847
154,280.06,D3,241,62.8125,8,25 mM HEPES pH 7,PYO,3,1,9/29/22,176.71527777777777,4.018598709330847
155,420.092,D3,241,62.8125,8,25 mM HEPES pH 7,PYO,3,1,9/29/22,176.71527777777777,4.018598709330847
157,140.037,D4,2253,62.5,8,25 mM HEPES pH 7,PMS,1,1,9/29/22,2188.715277777778,4.018598709330847
158,280.06,D4,2249,62.5,8,25 mM HEPES pH 7,PMS,1,1,9/29/22,2184.715277777778,4.018598709330847
159,420.092,D4,2217,62.5,8,25 mM HEPES pH 7,PMS,1,1,9/29/22,2152.715277777778,4.018598709330847
161,140.037,D5,2531,62.5,8,25 mM HEPES pH 7,PMS,2,1,9/29/22,2466.715277777778,4.018598709330847
162,280.06,D5,2535,62.5,8,25 mM HEPES pH 7,PMS,2,1,9/29/22,2470.715277777778,4.018598709330847
163,420.092,D5,2503,62.5,8,25 mM HEPES pH 7,PMS,2,1,9/29/22,2438.715277777778,4.018598709330847
165,140.037,D6,2226,62.5,8,25 mM HEPES pH 7,PMS,3,1,9/29/22,2161.715277777778,4.018598709330847
166,280.06,D6,2237,62.5,8,25 mM HEPES pH 7,PMS,3,1,9/29/22,2172.715277777778,4.018598709330847
167,420.092,D6,2195,62.5,8,25 mM HEPES pH 7,PMS,3,1,9/29/22,2130.715277777778,4.018598709330847
169,140.037,D7,66,62.5,8,25 mM HEPES pH 7,AQDS,1,1,9/29/22,1.7152777777777715,4.018598709330847
170,280.06,D7,71,62.5,8,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6.7152777777777715,4.018598709330847
171,420.092,D7,70,62.5,8,25 mM HEPES pH 7,AQDS,1,1,9/29/22,5.7152777777777715,4.018598709330847
173,140.037,D8,75,62.5,8,25 mM HEPES pH 7,AQDS,2,1,9/29/22,10.715277777777771,4.018598709330847
174,280.06,D8,76,62.5,8,25 mM HEPES pH 7,AQDS,2,1,9/29/22,11.715277777777771,4.018598709330847
175,420.092,D8,76,62.5,8,25 mM HEPES pH 7,AQDS,2,1,9/29/22,11.715277777777771,4.018598709330847
177,140.037,D9,70,62.5,8,25 mM HEPES pH 7,AQDS,3,1,9/29/22,5.7152777777777715,4.018598709330847
178,280.06,D9,66,62.5,8,25 mM HEPES pH 7,AQDS,3,1,9/29/22,1.7152777777777715,4.018598709330847
179,420.092,D9,69,62.5,8,25 mM HEPES pH 7,AQDS,3,1,9/29/22,4.7152777777777715,4.018598709330847
181,140.037,D10,57,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-7.2847222222222285,4.018598709330847
182,280.06,D10,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
183,420.092,D10,58,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-6.2847222222222285,4.018598709330847
185,140.037,D11,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
186,280.06,D11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
187,420.092,D11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
189,140.037,D12,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
190,280.06,D12,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
191,420.092,D12,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
193,140.037,E1,153,31.40625,16,25 mM HEPES pH 7,PYO,1,1,9/29/22,88.71527777777777,4.018598709330847
194,280.06,E1,157,31.40625,16,25 mM HEPES pH 7,PYO,1,1,9/29/22,92.71527777777777,4.018598709330847
195,420.092,E1,156,31.40625,16,25 mM HEPES pH 7,PYO,1,1,9/29/22,91.71527777777777,4.018598709330847
197,140.037,E2,160,31.40625,16,25 mM HEPES pH 7,PYO,2,1,9/29/22,95.71527777777777,4.018598709330847
198,280.06,E2,159,31.40625,16,25 mM HEPES pH 7,PYO,2,1,9/29/22,94.71527777777777,4.018598709330847
199,420.092,E2,165,31.40625,16,25 mM HEPES pH 7,PYO,2,1,9/29/22,100.71527777777777,4.018598709330847
201,140.037,E3,161,31.40625,16,25 mM HEPES pH 7,PYO,3,1,9/29/22,96.71527777777777,4.018598709330847
202,280.06,E3,162,31.40625,16,25 mM HEPES pH 7,PYO,3,1,9/29/22,97.71527777777777,4.018598709330847
203,420.092,E3,165,31.40625,16,25 mM HEPES pH 7,PYO,3,1,9/29/22,100.71527777777777,4.018598709330847
205,140.037,E4,1410,31.25,16,25 mM HEPES pH 7,PMS,1,1,9/29/22,1345.7152777777778,4.018598709330847
206,280.06,E4,1399,31.25,16,25 mM HEPES pH 7,PMS,1,1,9/29/22,1334.7152777777778,4.018598709330847
207,420.092,E4,1382,31.25,16,25 mM HEPES pH 7,PMS,1,1,9/29/22,1317.7152777777778,4.018598709330847
209,140.037,E5,1150,31.25,16,25 mM HEPES pH 7,PMS,2,1,9/29/22,1085.7152777777778,4.018598709330847
210,280.06,E5,1130,31.25,16,25 mM HEPES pH 7,PMS,2,1,9/29/22,1065.7152777777778,4.018598709330847
211,420.092,E5,1135,31.25,16,25 mM HEPES pH 7,PMS,2,1,9/29/22,1070.7152777777778,4.018598709330847
213,140.037,E6,1245,31.25,16,25 mM HEPES pH 7,PMS,3,1,9/29/22,1180.7152777777778,4.018598709330847
214,280.06,E6,1246,31.25,16,25 mM HEPES pH 7,PMS,3,1,9/29/22,1181.7152777777778,4.018598709330847
215,420.092,E6,1257,31.25,16,25 mM HEPES pH 7,PMS,3,1,9/29/22,1192.7152777777778,4.018598709330847
217,140.037,E7,64,31.25,16,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-0.28472222222222854,4.018598709330847
218,280.06,E7,65,31.25,16,25 mM HEPES pH 7,AQDS,1,1,9/29/22,0.7152777777777715,4.018598709330847
219,420.092,E7,65,31.25,16,25 mM HEPES pH 7,AQDS,1,1,9/29/22,0.7152777777777715,4.018598709330847
221,140.037,E8,70,31.25,16,25 mM HEPES pH 7,AQDS,2,1,9/29/22,5.7152777777777715,4.018598709330847
222,280.06,E8,69,31.25,16,25 mM HEPES pH 7,AQDS,2,1,9/29/22,4.7152777777777715,4.018598709330847
223,420.092,E8,68,31.25,16,25 mM HEPES pH 7,AQDS,2,1,9/29/22,3.7152777777777715,4.018598709330847
225,140.037,E9,67,31.25,16,25 mM HEPES pH 7,AQDS,3,1,9/29/22,2.7152777777777715,4.018598709330847
226,280.06,E9,66,31.25,16,25 mM HEPES pH 7,AQDS,3,1,9/29/22,1.7152777777777715,4.018598709330847
227,420.092,E9,66,31.25,16,25 mM HEPES pH 7,AQDS,3,1,9/29/22,1.7152777777777715,4.018598709330847
229,140.037,E10,58,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-6.2847222222222285,4.018598709330847
230,280.06,E10,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
231,420.092,E10,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
233,140.037,E11,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
234,280.06,E11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
235,420.092,E11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
237,140.037,E12,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
238,280.06,E12,63,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-1.2847222222222285,4.018598709330847
239,420.092,E12,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
241,140.037,F1,118,15.703125,32,25 mM HEPES pH 7,PYO,1,1,9/29/22,53.71527777777777,4.018598709330847
242,280.06,F1,126,15.703125,32,25 mM HEPES pH 7,PYO,1,1,9/29/22,61.71527777777777,4.018598709330847
243,420.092,F1,126,15.703125,32,25 mM HEPES pH 7,PYO,1,1,9/29/22,61.71527777777777,4.018598709330847
245,140.037,F2,117,15.703125,32,25 mM HEPES pH 7,PYO,2,1,9/29/22,52.71527777777777,4.018598709330847
246,280.06,F2,121,15.703125,32,25 mM HEPES pH 7,PYO,2,1,9/29/22,56.71527777777777,4.018598709330847
247,420.092,F2,117,15.703125,32,25 mM HEPES pH 7,PYO,2,1,9/29/22,52.71527777777777,4.018598709330847
249,140.037,F3,119,15.703125,32,25 mM HEPES pH 7,PYO,3,1,9/29/22,54.71527777777777,4.018598709330847
250,280.06,F3,124,15.703125,32,25 mM HEPES pH 7,PYO,3,1,9/29/22,59.71527777777777,4.018598709330847
251,420.092,F3,125,15.703125,32,25 mM HEPES pH 7,PYO,3,1,9/29/22,60.71527777777777,4.018598709330847
253,140.037,F4,605,15.625,32,25 mM HEPES pH 7,PMS,1,1,9/29/22,540.7152777777778,4.018598709330847
254,280.06,F4,610,15.625,32,25 mM HEPES pH 7,PMS,1,1,9/29/22,545.7152777777778,4.018598709330847
255,420.092,F4,603,15.625,32,25 mM HEPES pH 7,PMS,1,1,9/29/22,538.7152777777778,4.018598709330847
257,140.037,F5,645,15.625,32,25 mM HEPES pH 7,PMS,2,1,9/29/22,580.7152777777778,4.018598709330847
