name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
MM4,F4,2,5/27/22,1.0,0.125,8.0,1.0,-0.06770833333333326,0.25190158124109224
MM4,G1,2,5/27/22,1.0,1.0,1.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,G2,2,5/27/22,1.0,0.5,2.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,G3,2,5/27/22,1.0,0.25,4.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,G4,2,5/27/22,1.0,0.125,8.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,H1,2,5/27/22,1.0,1.0,1.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,H2,2,5/27/22,1.0,0.5,2.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,H3,2,5/27/22,1.0,0.25,4.0,2.0,-0.06770833333333326,0.25190158124109224
MM4,H4,2,5/27/22,1.0,0.125,8.0,2.0,-0.06770833333333326,0.25190158124109224
PA14 WT,A1,1,5/27/22,53.75,1.0,1.0,1.0,52.682291666666664,0.5598699908298025
PA14 WT,A2,1,5/27/22,34.25,0.5,2.0,1.0,33.182291666666664,0.5598699908298025
PA14 WT,A3,1,5/27/22,18.0,0.25,4.0,1.0,16.932291666666668,0.25190158124109224
PA14 WT,A4,1,5/27/22,10.0,0.125,8.0,1.0,8.932291666666666,0.25190158124109224
PA14 WT,B1,1,5/27/22,57.5,1.0,1.0,1.0,56.432291666666664,0.6299108984333378
PA14 WT,B2,1,5/27/22,35.0,0.5,2.0,1.0,33.932291666666664,0.25190158124109224
PA14 WT,B3,1,5/27/22,19.75,0.25,4.0,1.0,18.682291666666668,0.5598699908298017
PA14 WT,B4,1,5/27/22,11.25,0.125,8.0,1.0,10.182291666666666,0.5598699908298019
PA14 WT,C1,1,5/27/22,53.5,1.0,1.0,2.0,52.432291666666664,0.6299108984333387
PA14 WT,C2,1,5/27/22,36.0,0.5,2.0,2.0,34.932291666666664,0.25190158124109224
PA14 WT,C3,1,5/27/22,19.0,0.25,4.0,2.0,17.932291666666668,0.25190158124109224
PA14 WT,C4,1,5/27/22,12.0,0.125,8.0,2.0,10.932291666666666,0.25190158124109224
PA14 WT,D1,1,5/27/22,60.5,1.0,1.0,2.0,59.432291666666664,0.6299108984333387
PA14 WT,D2,1,5/27/22,35.75,0.5,2.0,2.0,34.682291666666664,0.5598699908298015
PA14 WT,D3,1,5/27/22,20.0,0.25,4.0,2.0,18.932291666666668,0.25190158124109224
PA14 WT,D4,1,5/27/22,13.25,0.125,8.0,2.0,12.182291666666666,0.559869990829802
PO,E5,2,5/27/22,34.0,1.0,1.0,1.0,32.932291666666664,0.25190158124109224
PO,E6,2,5/27/22,21.0,0.5,2.0,1.0,19.932291666666668,0.25190158124109224
PO,E7,2,5/27/22,17.25,0.25,4.0,1.0,16.182291666666668,0.9900106430228066
PO,E8,2,5/27/22,13.0,0.125,8.0,1.0,11.932291666666666,0.25190158124109224
PO,F5,2,5/27/22,38.0,1.0,1.0,1.0,36.932291666666664,0.25190158124109224
PO,F6,2,5/27/22,20.75,0.5,2.0,1.0,19.682291666666668,0.5598699908298017
PO,F7,2,5/27/22,19.0,0.25,4.0,1.0,17.932291666666668,0.8544712243829099
PO,F8,2,5/27/22,12.0,0.125,8.0,1.0,10.932291666666666,0.25190158124109224
PO,G5,2,5/27/22,32.25,1.0,1.0,2.0,31.182291666666668,0.559869990829802
