name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
BG,G5,1,5/27/22,3005.25,0.900900901,1.0,2.0,3004.1822916666665,4044.76684496997,2994.10815503003,1.347544076373843,0.7420907542341305,32.786889469318346,161.84886398127614,32.95574542319252,0.056053498084682414,0.030868587826127142
BG,G6,1,5/27/22,3295.25,0.45045045,2.0,2.0,3294.1822916666665,4040.7127909159162,3288.1622090840838,1.227035788315685,0.814972154457426,17.971647700567093,161.84886398127614,18.38437000014387,0.04969724273974728,0.03300789542724031
BG,G7,1,5/27/22,3532.0,0.225225225,4.0,2.0,3530.9322916666665,4038.2353134384384,3527.3896865615616,1.1438182528299792,0.8742647684855954,14.073501853008395,161.84823714338478,14.07126942256241,0.04610956136980906,0.035243330744382316
BG,G8,1,5/27/22,3446.75,0.112612613,8.0,2.0,3445.6822916666665,4036.208286411412,3444.166713588588,1.1714568555624467,0.8536379255041998,14.082380992099077,161.84886398127614,14.198826779836835,0.04723945119574165,0.03442327980685941
BG,H5,1,5/27/22,3052.5,0.900900901,1.0,2.0,3051.4322916666665,4044.992070195195,3041.132929804805,1.3267071191762407,0.7537458611218617,38.232579314941624,161.84907292670044,38.64154580074828,0.05582570564080554,0.03171641575051713
BG,H6,1,5/27/22,3508.0,0.45045045,2.0,2.0,3506.9322916666665,4040.9380161411414,3500.6869838588586,1.1525431228032368,0.8676464942741416,22.672967481267904,161.84823714338478,22.671581840761377,0.046831899108130064,0.035255542528022474
BG,H7,1,5/27/22,3137.75,0.225225225,4.0,2.0,3136.6822916666665,4037.334412537538,3134.040587462462,1.2873772996029071,0.776773056592229,19.501626968195044,161.84823714338478,19.500015978515027,0.05225950474877355,0.03153215087156044
BG,H8,1,5/27/22,3525.5,0.112612613,8.0,2.0,3524.4322916666665,4036.433511636637,3522.691488363363,1.1453437582204637,0.8731003184176894,17.992501801397648,161.84823714338478,17.990755676986076,0.04631529648823469,0.03530634346348236
CG,A10,1,5/27/22,3181.5,0.45045045,2.0,1.0,3180.4322916666665,4039.1362143393394,3175.9887856606606,1.2703737263020742,0.7871699321985317,27.283635896631562,161.84823714338478,27.282484426746617,0.05211526632960614,0.03229252133748061
CG,A11,1,5/27/22,3380.5,0.225225225,4.0,1.0,3379.4322916666665,4037.1091873123128,3377.0158126876872,1.1947509079391063,0.8369945512114795,36.16255136288504,161.84886398127614,35.90196758561297,0.049580941269545896,0.034734418204486014
CG,A12,1,5/27/22,3610.5,0.112612613,8.0,1.0,3609.4322916666665,4035.532610735736,3608.592389264264,1.1180793708751198,0.8943908867733611,42.39964765270229,161.84823714338478,42.39890670558632,0.04673505391105171,0.03738500807701158
CG,A9,1,5/27/22,2899.5,0.900900901,1.0,1.0,2898.4322916666665,4043.4154936186187,2889.7095063813813,1.3962277867112496,0.7162155126245224,52.48869834932683,161.84886398127614,52.82934094332788,0.06155082365982722,0.03157339736363631
CG,B10,1,5/27/22,3073.5,0.45045045,2.0,1.0,3072.4322916666665,4039.1362143393394,3067.9887856606606,1.3150936949935763,0.7604020943959316,19.486665211710697,161.84823714338478,19.485052985019184,0.05341089975946983,0.0308827881962208
CG,B11,1,5/27/22,3436.75,0.225225225,4.0,1.0,3435.6822916666665,4037.334412537538,3433.040587462462,1.1752534249283617,0.8508803112494274,53.26956718183432,161.84823714338478,53.26897743054271,0.05054826122347056,0.03659680485131598
CG,B12,1,5/27/22,3576.0,0.112612613,8.0,1.0,3574.9322916666665,4036.208286411412,3573.416713588588,1.1290854192825193,0.8856725832448115,22.643544799198256,161.84886398127614,22.975752663456717,0.04587035664715932,0.0359814382262295
