,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
505,121,74.679,C7,3281,0.99009901,1,MM noC,BG dtox,2,2,12/3/21,3279.9861111111113,4178.11961961962,3270.088713713714,1.2746511141248316,0.7845284006883676,0.11785113019775789,154.17683485385902,0.011678940830408439,0.047147589106318895,0.029018624993152612
506,122,149.363,C7,3303,0.99009901,1,MM noC,BG dtox,2,2,12/3/21,3301.9861111111113,4178.11961961962,3292.088713713714,1.2661330190947884,0.7898064302240076,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04683251650041017,0.02921385203431517
507,123,224.042,C7,3290,0.99009901,1,MM noC,BG dtox,2,2,12/3/21,3288.9861111111113,4179.020520520521,3278.187812812813,1.2715019578593716,0.7864714590636912,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04703110615238013,0.029090496045569358
509,125,74.679,C8,3564,0.495049505,2,MM noC,BG dtox,2,2,12/3/21,3562.9861111111113,4173.615115115115,3557.593218218218,1.1716410411614826,0.8535037309794733,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04333738835412327,0.031569927436548885
510,126,149.363,C8,3618,0.495049505,2,MM noC,BG dtox,2,2,12/3/21,3616.9861111111113,4174.516016016017,3610.6923173173177,1.1544108043299408,0.8662427588595153,0.11785113019775789,154.17683485385902,0.011678940830408439,0.042700065620861455,0.032041126528061924
511,127,224.042,C8,3663,0.495049505,2,MM noC,BG dtox,2,2,12/3/21,3661.9861111111113,4174.516016016017,3655.6923173173177,1.1402005038763816,0.8770387283642335,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04217444617574024,0.032440454567144505
513,129,74.679,C9,3680,0.247524752,4,MM noC,BG dtox,2,2,12/3/21,3678.9861111111113,4171.813313313313,3675.39502002002,1.1340882271205552,0.8817656123095425,0.11785113019775789,154.17683485385902,0.011678940830408439,0.041948361475653693,0.032615295492376066
514,130,149.363,C9,3752,0.247524752,4,MM noC,BG dtox,2,2,12/3/21,3750.9861111111113,4170.912412412413,3748.295920920921,1.1120312563790666,0.8992552990427117,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04113250450242539,0.03326221491034748
515,131,224.042,C9,3756,0.247524752,4,MM noC,BG dtox,2,2,12/3/21,3754.9861111111113,4171.813313313313,3751.39502002002,1.1111125861120266,0.8999988052508444,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04109852415434947,0.03328971618071309
517,133,74.679,C10,3661,0.123762376,8,MM noC,BG dtox,2,2,12/3/21,3659.9861111111113,4169.110610610611,3659.097722722723,1.1391393556771863,0.8778557206510771,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04213519576513904,0.03247067398631983
518,134,149.363,C10,3781,0.123762376,8,MM noC,BG dtox,2,2,12/3/21,3779.9861111111113,4170.011511511512,3778.196821821822,1.1032305670651463,0.906428837138039,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04080697912416739,0.03352755420205021
519,135,224.042,C10,3796,0.123762376,8,MM noC,BG dtox,2,2,12/3/21,3794.9861111111113,4170.011511511512,3793.196821821822,1.0988678990351681,0.9100274936396118,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04064561004160603,0.033660663548450764
521,137,74.679,C11,3641,0.061881188,16,MM noC,BG dtox,2,2,12/3/21,3639.9861111111113,4169.110610610611,3639.097722722723,1.1453999149832161,0.8730575119823134,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04236676523258353,0.03229319485783283
522,138,149.363,C11,3705,0.061881188,16,MM noC,BG dtox,2,2,12/3/21,3703.9861111111113,4169.110610610611,3703.097722722723,1.1256041655734417,0.8884117797223571,0.11785113019775789,154.17683485385902,0.011678940830408439,0.041634547722326276,0.032861128069016476
523,139,224.042,C11,3719,0.061881188,16,MM noC,BG dtox,2,2,12/3/21,3717.9861111111113,4169.110610610611,3717.097722722723,1.1213647133196856,0.8917705257904917,0.11785113019775789,154.17683485385902,0.011678940830408439,0.0414777362215785,0.032985363458972544
525,141,74.679,C12,3968,0.030940594,32,MM noC,BG dtox,2,2,12/3/21,3966.9861111111113,4168.20970970971,3966.9986236236236,1.0507243933487411,0.9517243592422192,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03886484806597187,0.035202973164777905
526,142,149.363,C12,4091,0.030940594,32,MM noC,BG dtox,2,2,12/3/21,4089.9861111111113,4168.20970970971,4089.9986236236236,1.0191255806656714,0.9812333425551156,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03769605150124087,0.03629446980570556
527,143,224.042,C12,4093,0.030940594,32,MM noC,BG dtox,2,2,12/3/21,4091.9861111111113,4169.110610610611,4091.097722722723,1.0188517861773714,0.9814970278963722,0.11785113019775789,154.17683485385902,0.011678940830408439,0.037685924220178545,0.036304223163224465
529,145,74.679,D1,3927,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3925.9861111111113,4203.344844844845,3890.8634884884887,1.071284622180739,0.9334587459720742,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03962534261623368,0.03452735329287948
530,146,149.363,D1,3880,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3878.9861111111113,4204.245745745746,3842.9625875875877,1.0846377312350615,0.9219668200748596,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04011925573125837,0.03410228278542362
531,147,224.042,D1,3843,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3841.9861111111113,4204.245745745746,3805.9625875875877,1.0951821323247042,0.9130901340376469,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04050927860669726,0.03377394639761256
533,149,74.679,D2,3823,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3821.9861111111113,4185.3268268268275,3804.881506506507,1.0954933064523529,0.9128307714069029,0.11785113019775789,154.17683485385902,0.011678940830408439,0.040520788509157184,0.03376435293120497
534,150,149.363,D2,3819,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3817.9861111111113,4186.227727727728,3799.980605605606,1.096906183171935,0.9116549941475303,0.11785113019775789,154.17683485385902,0.011678940830408439,0.0405730488733251,0.03372086255015745
535,151,224.042,D2,3813,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3811.9861111111113,4186.227727727728,3793.980605605606,1.0986408881647087,0.9102155315469012,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04063721322212672,0.03366761881159612
537,153,74.679,D3,3795,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3793.9861111111113,4177.218718718719,3784.9896146146148,1.1012506364952412,0.9080584990012137,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04073374421896431,0.033587833149308625
538,154,149.363,D3,3753,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3751.9861111111113,4177.218718718719,3742.9896146146148,1.1136077444477201,0.89798226079681,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04119081662510274,0.03321512697940209
539,155,224.042,D3,3747,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3745.9861111111113,4177.218718718719,3736.9896146146148,1.1153957201061366,0.8965427981961809,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04125695138248793,0.03316188324084642
