name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
EC WT,D6,2,12/3/21,166.0,4145.333333333333,0.030940594,32.0,2.0,4144.319444444444,4169.410910910911,4143.130755755757,1.0060561608951415,0.9939802954044304,49.60188728488295,154.1777122231524,50.06845570604606,0.039148358139970314,0.03867845365008594
PA14 WT,A1,1,12/3/21,2.0,1694.3333333333333,0.9900990100000001,1.0,1.0,1693.3194444444443,4218.660160160161,1642.8815065065064,2.537141118038214,0.39414441431355113,2.0849993338661026,154.17683485385902,2.08169876086626,0.09390040316654157,0.014587410667365727
PA14 WT,A2,1,12/3/21,6.0,2144.6666666666665,0.49504950500000006,2.0,1.0,2143.652777777778,4195.236736736737,2116.6382632632635,1.9692652705786349,0.5078036031713326,3.7877727257879026,154.17683485385902,3.785956910873755,0.07292552555810083,0.01880490414106858
PA14 WT,A3,1,12/3/21,10.0,2659.0,0.247524752,4.0,1.0,2657.9861111111113,4185.627127127128,2640.5812062062064,1.5785245355929876,0.6335029817096512,11.136152337719203,154.1777122231524,10.73599870527782,0.058739116374610774,0.023573536253161442
PA14 WT,A4,1,12/3/21,14.0,2891.0,0.123762376,8.0,1.0,2889.9861111111113,4176.918418418419,2881.289914914915,1.4466514461615054,0.6912515123483027,14.79911784157721,154.1777122231524,15.316200329195595,0.05405939857689198,0.025831129621491696
PA14 WT,A5,1,12/3/21,18.0,3582.0,0.061881188,16.0,1.0,3580.9861111111113,4173.314814814815,3575.8935185185182,1.1656449501743285,0.8578941639565671,32.511750012709086,154.1777122231524,33.02429424744892,0.04443918235801196,0.03270645593260489
PA14 WT,A6,1,12/3/21,22.0,3859.6666666666665,0.030940594,32.0,1.0,3858.652777777778,4170.912412412413,3855.9625875875877,1.0809809814129951,0.925085655709556,1.5320646925709025,154.17683485385902,1.5275698776135922,0.03998629066796297,0.03421960659623566
PA14 WT,B1,1,12/3/21,50.0,1844.3333333333333,0.9900990100000001,1.0,1.0,1843.3194444444443,4228.870370370371,1782.6712962962963,2.338188891514763,0.4276814433722521,19.553700985292302,154.1777122231524,19.125563879929274,0.09005096757137308,0.016471350081148712
PA14 WT,B2,1,12/3/21,54.0,2283.3333333333335,0.49504950500000006,2.0,1.0,2282.319444444445,4198.54004004004,2252.0016266266266,1.8508966303305865,0.5402786863474873,15.044840385402027,154.1777122231524,15.013420973944186,0.06956523255978894,0.020306165048313514
PA14 WT,B3,1,12/3/21,58.0,2654.0,0.247524752,4.0,1.0,2652.9861111111113,4185.3268268268275,2635.881506506507,1.5813389987119033,0.632375474717667,7.811138770300325,154.17683485385902,7.810258407867112,0.058678925913510316,0.0234656285974765
PA14 WT,B4,1,12/3/21,62.0,3099.3333333333335,0.123762376,8.0,1.0,3098.319444444445,4178.11961961962,3088.422047047047,1.3496284376701728,0.7409446719470976,6.659371008002386,154.17683485385902,6.658338361107278,0.050005620739544655,0.02745303612476759
PA14 WT,B5,1,12/3/21,66.0,3576.0,0.061881188,16.0,1.0,3574.9861111111113,4173.314814814815,3569.8935185185182,1.1676040757518187,0.856454701355938,17.34975183940361,154.1777122231524,17.253030852726624,0.04355515923067695,0.03194834761723523
PA14 WT,B6,1,12/3/21,70.0,3736.0,0.030940594,32.0,1.0,3734.9861111111113,4170.912412412413,3732.2959209209207,1.1167984293147206,0.8954167321077007,5.00138869604122,154.17683485385902,5.000013639747288,0.04133592024760129,0.03314194724421594
PA14 WT,C1,1,12/3/21,98.0,1654.6666666666667,0.9900990100000001,1.0,2.0,1653.6527777777776,4223.4649649649655,1598.4100350350352,2.607730263737277,0.38347524431719665,13.61422866791295,154.1777122231524,13.1068759331985,0.09879813146804953,0.014528587611088061
PA14 WT,C2,1,12/3/21,102.0,2182.0,0.49504950500000006,2.0,2.0,2180.9861111111113,4198.840340340341,2150.367992992993,1.9383762387667778,0.5158957172505447,3.46610572384757,154.17683485385902,3.4641213023880844,0.0717658334424438,0.019100361105038963
PA14 WT,C3,1,12/3/21,106.0,2675.3333333333335,0.247524752,4.0,2.0,2674.319444444445,4187.1286286286295,2655.413038038038,1.5697076735383997,0.6370612929131082,14.22488039395144,154.17683485385902,14.22439699006584,0.058667034581453746,0.023809845318262475
PA14 WT,C4,1,12/3/21,110.0,3068.3333333333335,0.123762376,8.0,2.0,3067.319444444445,4178.11961961962,3057.422047047047,1.3633126725988063,0.7335074485105139,24.58347457586548,154.17683485385902,24.583194864195224,0.05160472165361369,0.027765052340547422
PA14 WT,C5,1,12/3/21,114.0,3487.6666666666665,0.061881188,16.0,2.0,3486.652777777778,4173.615115115115,3481.2598848848847,1.1973315294040605,0.835190567893692,12.50388828413869,154.17683485385902,12.50333834345815,0.04449593723299992,0.03103784221324895
PA14 WT,C6,1,12/3/21,118.0,4029.6666666666665,0.030940594,32.0,2.0,4028.652777777778,4170.912412412413,4025.9625875875877,1.0353355580285903,0.9658704293940472,14.640601839481317,154.17683485385902,14.640132162347228,0.038480260009559286,0.035898453376215694
PA14 WT,D1,1,12/3/21,146.0,1756.6666666666667,0.9900990100000001,1.0,2.0,1755.6527777777776,4231.272772772773,1692.6022272272273,2.4626118028040676,0.4060729339725181,24.007232706462098,154.17683485385902,24.006946280837,0.0975557556462089,0.016086478541219744
PA14 WT,D2,1,12/3/21,150.0,2252.0,0.49504950500000006,2.0,2.0,2250.9861111111113,4201.543043043043,2217.6652902902906,1.8795542503515512,0.5320410410143577,13.115406546839822,154.17683485385902,13.114882248714965,0.07040508938079565,0.019929404559544478
