name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
PA14 WT,D2,1,12/3/21,150.0,38.0,0.5,2.0,2.0,36.986111111111114,0.11785113019775789
PA14 WT,D3,1,12/3/21,154.0,23.0,0.25,4.0,2.0,21.98611111111111,0.11785113019775789
PA14 WT,D4,1,12/3/21,158.0,11.0,0.125,8.0,2.0,9.98611111111111,0.11785113019775789
PA14 WT,D5,1,12/3/21,162.0,7.0,0.0625,16.0,2.0,5.986111111111111,0.11785113019775789
PA14 WT,D6,1,12/3/21,166.0,3.6666666666666665,0.03125,32.0,2.0,2.652777777777778,0.5892556509887897
PA14 dphz,E1,1,12/3/21,194.0,15.0,1.0,1.0,1.0,13.986111111111109,0.11785113019775789
PA14 dphz,E2,1,12/3/21,198.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz,E3,1,12/3/21,202.0,5.333333333333333,0.25,4.0,1.0,4.319444444444444,0.5892556509887894
PA14 dphz,E4,1,12/3/21,206.0,4.0,0.125,8.0,1.0,2.986111111111111,0.11785113019775789
PA14 dphz,E5,1,12/3/21,210.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz,E6,1,12/3/21,214.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz,F1,1,12/3/21,242.0,17.666666666666668,1.0,1.0,1.0,16.652777777777775,0.5892556509887901
PA14 dphz,F2,1,12/3/21,246.0,9.666666666666666,0.5,2.0,1.0,8.652777777777777,0.5892556509887897
PA14 dphz,F3,1,12/3/21,250.0,5.0,0.25,4.0,1.0,3.986111111111111,0.11785113019775789
PA14 dphz,F4,1,12/3/21,254.0,3.6666666666666665,0.125,8.0,1.0,2.652777777777778,0.5892556509887897
PA14 dphz,F5,1,12/3/21,258.0,2.3333333333333335,0.0625,16.0,1.0,1.3194444444444444,0.5892556509887897
PA14 dphz,F6,1,12/3/21,262.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
PA14 dphz,G1,1,12/3/21,290.0,13.0,1.0,1.0,2.0,11.986111111111109,0.11785113019775789
PA14 dphz,G2,1,12/3/21,294.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz,G3,1,12/3/21,298.0,5.0,0.25,4.0,2.0,3.986111111111111,0.11785113019775789
