,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
158,158,149.35,D4,11,0.125,8,MM noC,PA14 WT,2,1,12/3/21,9.98611111111111,0.11785113019775789
159,159,224.037,D4,11,0.125,8,MM noC,PA14 WT,2,1,12/3/21,9.98611111111111,0.11785113019775789
161,161,74.668,D5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
162,162,149.35,D5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
163,163,224.037,D5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
165,165,74.668,D6,4,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,2.986111111111111,0.11785113019775789
166,166,149.35,D6,3,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,1.9861111111111112,0.11785113019775789
167,167,224.037,D6,4,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,2.986111111111111,0.11785113019775789
169,169,74.668,D7,33,1.0,1,MM noC,PA14 dside,2,1,12/3/21,31.98611111111111,0.11785113019775789
170,170,149.35,D7,33,1.0,1,MM noC,PA14 dside,2,1,12/3/21,31.98611111111111,0.11785113019775789
171,171,224.037,D7,33,1.0,1,MM noC,PA14 dside,2,1,12/3/21,31.98611111111111,0.11785113019775789
173,173,74.668,D8,16,0.5,2,MM noC,PA14 dside,2,1,12/3/21,14.98611111111111,0.11785113019775789
174,174,149.35,D8,17,0.5,2,MM noC,PA14 dside,2,1,12/3/21,15.98611111111111,0.11785113019775789
175,175,224.037,D8,17,0.5,2,MM noC,PA14 dside,2,1,12/3/21,15.98611111111111,0.11785113019775789
177,177,74.668,D9,9,0.25,4,MM noC,PA14 dside,2,1,12/3/21,7.986111111111111,0.11785113019775789
178,178,149.35,D9,9,0.25,4,MM noC,PA14 dside,2,1,12/3/21,7.986111111111111,0.11785113019775789
179,179,224.037,D9,9,0.25,4,MM noC,PA14 dside,2,1,12/3/21,7.986111111111111,0.11785113019775789
181,181,74.668,D10,5,0.125,8,MM noC,PA14 dside,2,1,12/3/21,3.986111111111111,0.11785113019775789
182,182,149.35,D10,5,0.125,8,MM noC,PA14 dside,2,1,12/3/21,3.986111111111111,0.11785113019775789
183,183,224.037,D10,5,0.125,8,MM noC,PA14 dside,2,1,12/3/21,3.986111111111111,0.11785113019775789
185,185,74.668,D11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
186,186,149.35,D11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
187,187,224.037,D11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
189,189,74.668,D12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
190,190,149.35,D12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
191,191,224.037,D12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
193,193,74.668,E1,15,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,13.98611111111111,0.11785113019775789
194,194,149.35,E1,15,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,13.98611111111111,0.11785113019775789
195,195,224.037,E1,15,1.0,1,MM noC,PA14 dphz,1,1,12/3/21,13.98611111111111,0.11785113019775789
197,197,74.668,E2,9,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,7.986111111111111,0.11785113019775789
198,198,149.35,E2,9,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,7.986111111111111,0.11785113019775789
199,199,224.037,E2,9,0.5,2,MM noC,PA14 dphz,1,1,12/3/21,7.986111111111111,0.11785113019775789
